timestamp;buyer;seller;symbol;currency;price;quantity
400;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;6
1600;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5005.0;3
6900;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;6
11000;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;4
11400;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;4
12700;SUBMISSION;BOT;TOMATOES;XIRECS;4996.0;6
12900;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;8
13800;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;4
16300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4989.0;2
19400;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5005.0;4
19500;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5004.0;2
21600;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5005.0;3
22000;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4993.0;3
22200;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5005.0;2
22400;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5008.0;4
28800;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5007.0;3
29900;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4996.0;4
32800;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5010.0;2
33100;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;7
34400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4994.0;3
34500;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5006.0;2
36300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4991.0;2
36400;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;4
37800;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5004.0;5
38200;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5004.0;5
38900;SUBMISSION;BOT;TOMATOES;XIRECS;4995.0;5
42200;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4992.0;5
43700;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5007.0;4
44700;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4997.0;3
45100;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5010.0;4
45900;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4998.0;5
46000;BOT;SUBMISSION;TOMATOES;XIRECS;5006.0;6
46300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4998.0;3
52500;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;5
53000;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4998.0;5
53100;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;8
55200;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4996.0;3
56100;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;6
57000;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5010.0;4
57700;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;4
59900;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;5
61100;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;7
63100;SUBMISSION;BOT;TOMATOES;XIRECS;5005.0;11
63900;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5001.0;3
64700;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;7
64700;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4999.0;2
69000;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;6
70200;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5014.0;4
71400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5001.0;4
73400;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;5004.0;5
74600;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;5
76100;SUBMISSION;BOT;TOMATOES;XIRECS;5009.0;4
76800;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;5
83400;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;3
87500;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5000.0;5
89600;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5009.0;2
90200;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;5
91000;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4999.0;4
94300;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;3
95000;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;4
96700;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;5
96800;BOT;SUBMISSION;TOMATOES;XIRECS;5002.0;12
97200;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5007.0;2
