timestamp;buyer;seller;symbol;currency;price;quantity
600;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4999.0;5
700;SUBMISSION;BOT;TOMATOES;XIRECS;5003.0;11
1500;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5010.0;3
2300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5000.0;4
3000;SUBMISSION;BOT;TOMATOES;XIRECS;5004.0;10
4400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5003.0;3
4600;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4998.0;2
5800;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;7
6700;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5011.0;3
6800;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;4
6900;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4997.0;5
7200;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4997.0;3
10600;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5016.0;4
11800;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5004.0;4
12800;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;8
13100;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;7
14600;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5002.0;4
17300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5004.0;4
20700;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5011.0;5
20900;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;7
21900;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;8
23100;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4998.0;3
23700;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;4
24300;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5010.0;5
26000;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5012.0;2
27500;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4998.0;2
30900;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;3
34800;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5012.0;3
35800;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;6
36300;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;4
37700;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;4
37700;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5002.0;4
41300;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;8
41400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5009.0;3
42700;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5011.0;2
45500;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;5006.0;2
48700;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5017.0;2
50800;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5022.0;5
51400;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5022.0;2
51700;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5023.0;2
