timestamp;buyer;seller;symbol;currency;price;quantity
5300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4994.0;5
6500;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;3
8000;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5007.0;2
8100;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5007.0;4
8600;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4995.0;5
8800;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4995.0;3
13400;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5004.0;4
14400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4989.0;2
16300;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;8
16500;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;4
17600;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4993.0;2
18000;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4993.0;3
19400;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5005.0;2
20400;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5005.0;5
23000;SUBMISSION;BOT;TOMATOES;XIRECS;4996.0;8
23500;SUBMISSION;BOT;TOMATOES;XIRECS;4996.0;9
25100;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5002.0;4
25500;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4989.0;3
25600;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5002.0;4
27900;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;3
29500;BOT_TAKER;SUBMISSION;TOMATOES;XIRECS;5004.0;4
30500;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;5003.0;2
34800;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;4
34900;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4985.0;3
42800;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4996.0;3
49500;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;5
49900;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;8
50300;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4985.0;2
50300;SUBMISSION;BOT_TAKER;TOMATOES;XIRECS;4984.0;3
52200;BOT_TAKER;SUBMISSION;EMERALDS;XIRECS;10007.0;4
52400;BOT_MAKER;BOT_TAKER;TOMATOES;XIRECS;4980.0;2
54700;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;5
56200;BOT_TAKER;BOT_MAKER;TOMATOES;XIRECS;4992.0;3
57500;SUBMISSION;BOT_TAKER;EMERALDS;XIRECS;9993.0;4
58600;SUBMISSION;BOT;TOMATOES;XIRECS;4983.0;9
